Project Name,Name and Location,Latitude,Longitude,Project Type,Borough,Opening Date,Year,Image link,Body Text
Rochdale Village,"Rochdale Village,Queens, NYC",-73.7738889,40.6763889,Housing,Queens,,1963,http://qns.com/wp-content/uploads/2016/06/Rochdale-Village.jpg,Rochdale Village    Rochdale VillageRochdale VillageRochdale VillageRochdale VillageRochdale VillageRochdale VillageRochdale VillageRochdale VillageRochdale VillageRochdale Village
Peter Cooper Village,"Peter Cooper Village,Manhattan, NYC",-73.9778494,40.7316903,Housing,Manhattan,,1947,http://upload.wikimedia.org/wikipedia/commons/9/92/Peter_Cooper_Village.jpg,"Peter Cooper Village,Manhattan, NYC"
Riverton Houses,"Riverton Houses,Manhattan, NYC",-73.9356147,40.8134669,Housing,Manhattan,,1947,https://static01.nyt.com/images/2015/12/17/nyregion/17RIVERTONweb/17RIVERTONweb-master768-v3.jpg,"Riverton Houses,Manhattan, NYC"
Alfred E Smith Houses,"Alfred E Smith Houses,Manhattan, NYC",-73.9995489,40.7113206,Housing,Manhattan,,1953,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Alfred_E_Smith_Houses_Catherine_Slip_%26_South_St_jeh.jpg/1200px-Alfred_E_Smith_Houses_Catherine_Slip_%26_South_St_jeh.jpg,"Alfred E Smith Houses,Manhattan, NYC"
La Guardia Houses,"La Guardia Houses,Manhattan, NYC",-73.987911,40.7116826,Housing,Manhattan,,1957,https://upload.wikimedia.org/wikipedia/commons/b/bc/Nychales.JPG,"La Guardia Houses,Manhattan, NYC"
Baruch Houses,"Baruch Houses,Manhattan, NYC",-73.9786841,40.716844,Housing,Manhattan,,1959,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Gompers_NYCHA_from_WBB_jeh.jpg/1200px-Gompers_NYCHA_from_WBB_jeh.jpg,"Baruch Houses,Manhattan, NYC"
Lillian D Wald Houses,"LIlian D Wald Houses,Manhattan, NYC",-73.977092,40.721554,Housing,Manhattan,,1949,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Riis_Houses_central_plaza_%26_flagstaff_jeh.jpg/1200px-Riis_Houses_central_plaza_%26_flagstaff_jeh.jpg,"LIlian D Wald Houses,Manhattan, NYC"
Jacob Riis Houses,"Jacob Riis Houses,Manhattan, NYC",-73.9747222,40.7244444,Housing,Manhattan,,1949,https://famousankles.files.wordpress.com/2008/01/20080113-riis-houses-on-ave-d-03.jpg,"Jacob Riis Houses,Manhattan, NYC"
John Elliott Houses,"John Elliott Houses,Manhattan, NYC",-74.0023829,40.7496379,Housing,Manhattan,,1947,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Chelsea_Elliiot_NYCHA_jeh.JPG/1200px-Chelsea_Elliiot_NYCHA_jeh.JPG,"John Elliott Houses,Manhattan, NYC"
Lexington Houses,"Lexington Houses,Manhattan, NYC",-73.9430287,40.7977441,Housing,Manhattan,,1951,http://assets.nydailynews.com/polopoly_fs/1.1441280.1377846411!/img/httpImage/image.jpg_gen/derivatives/article_750/20100720-washington-housing.jpg,"Lexington Houses,Manhattan, NYC"
